species,Scientific name,code,Local status,taxon,family,plumage,similar,identical,personality,ga.gen,ga.fl,ga.jv,ga.sa,ga.1w,ga.1s,ga.1y,ga.2w,ga.3w,ga.nb,ga.an,ga.ab,tips
Red-throated loon,Gavia stellata,RTLO,Common,Loons,Gaviidae,JV-1S-AN-AB,Other loons- grebes and cormorants,None,,"<strong>General:</strong> Upturned, dainty bill. Droops neck in flight. Light color, relatively slender.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Pacific loon,Gavia pacifica,PALO,Uncommon,Loons,Gaviidae,JV-1S-AN-AB,Arctic loon- other loons- grebes and cormorants,None,,<strong>General:</strong>  Lack of white flank distinguishes it from Arctic loon.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Arctic loons MAY occur extremely rarely in the area as a migrant. Likely never occurs here and all similar animals are assumed to be Pacific. Arctic loons have white flank patches
Common loon,Gavia immer,COLO,Common,Loons,Gaviidae,JV-1S-AN-AB,Yellow-billed loon- other loons- grebes and cormorants,None,,<strong>General:</strong>  Thick bird. Big lumpy head. Dagger-like bill. Does not droop head. Bill changes color according to plumage. Sits low in water.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Yellow-billed loon,Gavia adamsii,YBLO,Rare,Loons,Gaviidae,JV-1S-AN-AB,Common loon- other loons- grebes and cormorants,None,,<strong>General:</strong>  Larger than Common loon. Yellow bill in all stages. Feathers are brown/tan in alls stages,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Pied-billed grebe,Podilymbus podiceps,PBGR,Rare,Grebes,Podicipedidae,JV-AN-AB,Murrelet?,None,,<strong>General:</strong>  Little chicken grebe with stubby bill. Smallest grebe in the area.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Horned grebe,Podiceps grisegeria,HOGR,Uncommon,Grebes,Podicipedidae,"1F,AN,AB",None,None,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Eared grebes MAY ocurs as a vagrant in the area but it is assumed that they don't
Red-necked grebe,Podiceps grisegena,RNGR,Uncommon,Grebes,Podicipedidae,JV-1W-AN-AB,Loons and cormorants in flight,1W and AN,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Adult nonbreeding and 1st winter will be treated as identical
Western grebe,Aechmophorus occidentalis,WEGR,Common,Grebes,Podicipedidae,JV-AN-AB,"Red-throated loon, other loons and cormorants in flight",AB and AN ,,<strong>General:</strong>  Tall with slender neck and thin sharp bill.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Clarks grebe MAY occur as a vagrant in the area but is not likely to. It is assumed they don't.
Sooty shearwater,Puffinus griseus,SOSH,Rare,Shearwaters,Procellariidae,AA,Short-tailed shearwater,Short-tailed,,"<strong>General:</strong>  Unmistakable in the area; almost black; shallow wing beats, fast flight, classic tube-nose bill.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Short-tailed shearwater,Puffinus tenuirostris,SRTS,Rare,Shearwaters,Procellariidae,AA,Sooty shearwater,Sooty,,"<strong>General:</strong>  Unmistakable in the area; almost black; shallow wing beats, fast flight, classic tube-nose bill.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
